episode reward
1.000000000000000000e+00 -1.701270000000119762e+04
2.000000000000000000e+00 -9.858300000001681838e+03
3.000000000000000000e+00 -9.774700000002314482e+03
4.000000000000000000e+00 -7.074200000001044828e+03
5.000000000000000000e+00 -6.402100000000658838e+03
6.000000000000000000e+00 -6.124900000000669934e+03
7.000000000000000000e+00 -5.780600000000525142e+03
8.000000000000000000e+00 -1.198680000000236942e+04
9.000000000000000000e+00 -5.930200000000442742e+03
1.000000000000000000e+01 -6.949900000000920954e+03
1.100000000000000000e+01 -4.774099999999934880e+03
1.200000000000000000e+01 -4.601399999999832289e+03
1.300000000000000000e+01 -1.407790000000215150e+04
1.400000000000000000e+01 -4.405599999999715692e+03
1.500000000000000000e+01 -3.878699999999504598e+03
1.600000000000000000e+01 -3.691699999999477313e+03
1.700000000000000000e+01 -3.847899999999446209e+03
1.800000000000000000e+01 -3.753299999999526790e+03
1.900000000000000000e+01 -3.513499999999488864e+03
2.000000000000000000e+01 -4.243899999999603097e+03
2.100000000000000000e+01 -2.975599999999563806e+03
2.200000000000000000e+01 -3.736799999999546344e+03
2.300000000000000000e+01 -2.616999999999636202e+03
2.400000000000000000e+01 -3.186799999999600914e+03
2.500000000000000000e+01 -2.558699999999692409e+03
2.600000000000000000e+01 -2.909599999999497413e+03
2.700000000000000000e+01 -2.225399999999637657e+03
2.800000000000000000e+01 -5.156900000001131048e+03
2.900000000000000000e+01 -1.211599999999992633e+03
3.000000000000000000e+01 1.000000000000000000e+00
3.100000000000000000e+01 1.000000000000000000e+00
3.200000000000000000e+01 1.000000000000000000e+00
3.300000000000000000e+01 1.000000000000000000e+00
3.400000000000000000e+01 1.000000000000000000e+00
3.500000000000000000e+01 1.000000000000000000e+00
3.600000000000000000e+01 1.000000000000000000e+00
3.700000000000000000e+01 1.000000000000000000e+00
3.800000000000000000e+01 1.000000000000000000e+00
3.900000000000000000e+01 1.000000000000000000e+00
4.000000000000000000e+01 1.000000000000000000e+00
4.100000000000000000e+01 1.000000000000000000e+00
4.200000000000000000e+01 1.000000000000000000e+00
4.300000000000000000e+01 1.000000000000000000e+00
4.400000000000000000e+01 1.000000000000000000e+00
4.500000000000000000e+01 1.000000000000000000e+00
4.600000000000000000e+01 1.000000000000000000e+00
4.700000000000000000e+01 1.000000000000000000e+00
4.800000000000000000e+01 1.000000000000000000e+00
4.900000000000000000e+01 1.000000000000000000e+00
5.000000000000000000e+01 1.000000000000000000e+00
5.100000000000000000e+01 1.000000000000000000e+00
